run_id,offered_load_mbps,mobility_speed_mps,lifi_fov_deg,seed,run_number,status,return_code,matched_application_flows,elapsed_seconds,source_directory
load20p0_speed0p5_fov40p0_seed1,20.0,0.5,40.0,1,1,PASS,0,9,7.847480,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load20p0_speed0p5_fov40p0_seed1
load20p0_speed0p5_fov40p0_seed2,20.0,0.5,40.0,2,1,PASS,0,9,8.229557,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load20p0_speed0p5_fov40p0_seed2
load20p0_speed0p5_fov40p0_seed3,20.0,0.5,40.0,3,1,PASS,0,9,7.763123,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load20p0_speed0p5_fov40p0_seed3
load20p0_speed0p5_fov70p0_seed1,20.0,0.5,70.0,1,1,PASS,0,9,7.782684,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load20p0_speed0p5_fov70p0_seed1
load20p0_speed0p5_fov70p0_seed2,20.0,0.5,70.0,2,1,PASS,0,9,8.212141,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load20p0_speed0p5_fov70p0_seed2
load20p0_speed0p5_fov70p0_seed3,20.0,0.5,70.0,3,1,PASS,0,9,7.850572,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load20p0_speed0p5_fov70p0_seed3
load20p0_speed3p0_fov40p0_seed1,20.0,3.0,40.0,1,1,PASS,0,9,7.869418,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load20p0_speed3p0_fov40p0_seed1
load20p0_speed3p0_fov40p0_seed2,20.0,3.0,40.0,2,1,PASS,0,9,8.228308,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load20p0_speed3p0_fov40p0_seed2
load20p0_speed3p0_fov40p0_seed3,20.0,3.0,40.0,3,1,PASS,0,9,7.722469,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load20p0_speed3p0_fov40p0_seed3
load20p0_speed3p0_fov70p0_seed1,20.0,3.0,70.0,1,1,PASS,0,9,7.837401,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load20p0_speed3p0_fov70p0_seed1
load20p0_speed3p0_fov70p0_seed2,20.0,3.0,70.0,2,1,PASS,0,9,8.196687,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load20p0_speed3p0_fov70p0_seed2
load20p0_speed3p0_fov70p0_seed3,20.0,3.0,70.0,3,1,PASS,0,9,7.774308,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load20p0_speed3p0_fov70p0_seed3
