representation,attacker,target,runs,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95
RandomProjection3,GradientBoosting,dominant_rat,10,0.9736842105263157,0.018621851845720065,0.011541943352206428,0.6924865831842576,0.12794522027120586,0.07930126911063552,0.679856359120498,0.10740384484388962,0.06656959271654049
RandomProjection3,LogisticRegression,dominant_cpe,10,0.17929824561403512,0.03421727328879972,0.02120808570695732,0.26582416621870053,0.01706087430275788,0.010574439447428195,0.12530051756786054,0.05068971188686667,0.03141780892604116
RandomProjection3,LogisticRegression,dominant_rat,10,0.8594736842105263,0.10914997499377117,0.067651855396025,0.8971621401853961,0.08136880439861423,0.05043290746733227,0.5226113202635415,0.177709715744323,0.11014562296225652
RandomProjection3,MLP,dominant_cpe,10,0.2733333333333333,0.038736234704394065,0.02400896701036991,0.25617028766103145,0.021844386989814866,0.01353929132768101,0.19893376948449304,0.037633812597107456,0.023325678709188065
RandomProjection3,MLP,dominant_rat,10,0.9807017543859649,1.1702778228589004e-16,7.253457094217689e-17,0.5,0.0,0.0,0.4786827289162671,0.05200588022931044,0.032233578516322
RandomProjection3,RandomForest,dominant_cpe,10,0.2305263157894737,0.027206498558829766,0.016862762510382153,0.2622781194393233,0.029899995004896134,0.018532208903653317,0.21439034616284527,0.027905327814811667,0.017295901370697028
RandomProjection3,RandomForest,dominant_rat,10,0.9594736842105263,0.0416516336890589,0.02581595002198781,0.7565376483981134,0.15448075652359106,0.09574816487497068,0.6667938455424143,0.16036542269536247,0.09939551875598876
RawPrivate,GradientBoosting,dominant_cpe,10,0.27543859649122815,5.851389114294502e-17,3.6267285471088446e-17,0.307306563303575,0.0,0.0,0.275721436677319,0.0,0.0
RawPrivate,GradientBoosting,dominant_rat,10,0.9894736842105264,1.1702778228589004e-16,7.253457094217689e-17,0.950073182631322,2.340555645717801e-16,1.4506914188435379e-16,0.8819223864107169,0.0,0.0
RawPrivate,LogisticRegression,dominant_cpe,10,0.16140350877192983,0.0,0.0,0.2627389876641661,0.0,0.0,0.09907871924270195,0.0,0.0
RawPrivate,LogisticRegression,dominant_rat,10,0.9807017543859649,1.1702778228589004e-16,7.253457094217689e-17,0.9901610017889088,0.0,0.0,0.8283649503161697,1.1702778228589004e-16,7.253457094217689e-17
RawPrivate,MLP,dominant_cpe,10,0.25526315789473686,0.03668163325314722,0.022735511837483728,0.27429852115770764,0.0358248500325905,0.0222044720956409,0.19080446234195336,0.036401558604717464,0.02256191977191758
RawPrivate,MLP,dominant_rat,10,0.9808771929824562,0.0005547855544154718,0.0003438596491227863,0.5045454545454545,0.01437398936440171,0.0089090909090909,0.5035056599388149,0.02649112000319302,0.016419366287871644
RawPrivate,RandomForest,dominant_cpe,10,0.23508771929824562,0.008634399450428886,0.005351656224248034,0.29477880026684466,0.007992619566168941,0.004953876930862862,0.2257497329734718,0.010092034653643504,0.006255107883248947
