representation,attacker,target,seed,test_samples,unseen_test_labels,accuracy,balanced_accuracy,macro_f1
V3_sigma0,GradientBoosting,dominant_cpe,3,570,0,0.2543859649122807,0.24496692710838164,0.24248061297366194
V3_sigma001,LogisticRegression,dominant_cpe,3,570,0,0.17543859649122806,0.2648997844301351,0.13355376141867048
V3_sigma001,RandomForest,dominant_cpe,3,570,0,0.20350877192982456,0.22347788132094334,0.20152884799552107
V3_sigma001,MLP,dominant_cpe,3,570,0,0.2824561403508772,0.2321061291649527,0.1681299666752115
V3_sigma001,GradientBoosting,dominant_cpe,3,570,0,0.22456140350877193,0.2163649028433005,0.21353463347122736
V3_sigma010,LogisticRegression,dominant_cpe,3,570,0,0.17543859649122806,0.2645879943094278,0.13322569672781698
V3_sigma010,RandomForest,dominant_cpe,3,570,0,0.19824561403508772,0.2193541278855936,0.19118135739439707
V3_sigma010,MLP,dominant_cpe,3,570,0,0.2982456140350877,0.24249280131633072,0.17413696637386
V3_sigma010,GradientBoosting,dominant_cpe,3,570,0,0.23508771929824562,0.22790244735199525,0.22123534306335663
V3_8D_sigma005,LogisticRegression,dominant_cpe,3,570,0,0.16140350877192983,0.26059615268605596,0.10050428446847068
V3_8D_sigma005,RandomForest,dominant_cpe,3,570,0,0.20175438596491227,0.2627424363905696,0.1827905854383413
V3_8D_sigma005,MLP,dominant_cpe,3,570,0,0.19824561403508772,0.21104413356486465,0.18013666424280497
V3_8D_sigma005,GradientBoosting,dominant_cpe,3,570,0,0.25087719298245614,0.2748175244925077,0.2482667321382569
Majority,Baseline,dominant_rat,3,570,0,0.980701754385965,0.5,0.4951284322409212
StratifiedRandom,Baseline,dominant_rat,3,570,0,0.9631578947368421,0.49105545617173524,0.4906166219839142
RawPrivate,LogisticRegression,dominant_rat,3,570,0,0.980701754385965,0.9901610017889088,0.8283649503161699
RawPrivate,RandomForest,dominant_rat,3,570,0,0.9894736842105263,0.9500731826313222,0.5982046678635548
RawPrivate,MLP,dominant_rat,3,570,0,0.980701754385965,0.5,0.4951284322409212
RawPrivate,GradientBoosting,dominant_rat,3,570,0,0.9894736842105263,0.9500731826313222,0.8819223864107169
V1,LogisticRegression,dominant_rat,3,570,0,0.856140350877193,0.926654740608229,0.5661939411939412
V1,RandomForest,dominant_rat,3,570,0,0.9789473684210527,0.5436656366888925,0.3810629867468234
V1,MLP,dominant_rat,3,570,0,0.980701754385965,0.5,0.4951284322409212
V1,GradientBoosting,dominant_rat,3,570,0,0.9789473684210527,0.5436656366888925,0.5660999746257295
V2,LogisticRegression,dominant_rat,3,570,0,0.9403508771929825,0.7467880956253049,0.6148954773070503
V2,RandomForest,dominant_rat,3,570,0,0.9824561403508771,0.5900146365262644,0.6384166455214413
V2,MLP,dominant_rat,3,570,0,0.980701754385965,0.5,0.4951284322409212
V2,GradientBoosting,dominant_rat,3,570,0,0.9842105263157894,0.5909090909090909,0.6498532523377244
V3_sigma005,LogisticRegression,dominant_rat,3,570,0,0.6298245614035087,0.8112701252236136,0.29156067084375364
V3_sigma005,RandomForest,dominant_rat,3,570,0,0.9701754385964912,0.7619938201333549,0.6992457866476303
V3_sigma005,MLP,dominant_rat,3,570,0,0.9701754385964912,0.49463327370304117,0.4924309884238646
V3_sigma005,GradientBoosting,dominant_rat,3,570,0,0.9736842105263158,0.5409822735404131,0.5521449897857629
PCA3,LogisticRegression,dominant_rat,3,570,0,0.3140350877192982,0.6502683363148479,0.25772104006314717
PCA3,RandomForest,dominant_rat,3,570,0,0.9280701754385965,0.6959668238738006,0.5792146059525739
PCA3,MLP,dominant_rat,3,570,0,0.980701754385965,0.5,0.4951284322409212
PCA3,GradientBoosting,dominant_rat,3,570,0,0.9175438596491228,0.7797202797202798,0.5929746729667725
RandomProjection3,LogisticRegression,dominant_rat,3,570,0,0.6982456140350877,0.8461538461538461,0.31072381849583924
RandomProjection3,RandomForest,dominant_rat,3,570,0,0.9491228070175438,0.48389982110912344,0.48694869486948694
RandomProjection3,MLP,dominant_rat,3,570,0,0.980701754385965,0.5,0.4951284322409212
RandomProjection3,GradientBoosting,dominant_rat,3,570,0,0.9578947368421052,0.5329321840949748,0.527689545642867
V3_sigma0,LogisticRegression,dominant_rat,3,570,0,0.6421052631578947,0.817531305903399,0.29578600515341114
V3_sigma0,RandomForest,dominant_rat,3,570,0,0.9754385964912281,0.7646771832818344,0.7244855682916724
V3_sigma0,MLP,dominant_rat,3,570,0,0.9719298245614035,0.49552772808586765,0.4928825622775801
V3_sigma0,GradientBoosting,dominant_rat,3,570,0,0.9719298245614035,0.49552772808586765,0.4928825622775801
V3_sigma001,LogisticRegression,dominant_rat,3,570,0,0.5929824561403508,0.7924865831842576,0.2792321651702876
V3_sigma001,RandomForest,dominant_rat,3,570,0,0.9666666666666667,0.7602049113677021,0.6849821111725181
V3_sigma001,MLP,dominant_rat,3,570,0,0.9719298245614035,0.49552772808586765,0.4928825622775801
V3_sigma001,GradientBoosting,dominant_rat,3,570,0,0.9789473684210527,0.5882257277606114,0.6196619217081851
