source,destination,transmitter_type,channel_pattern,launch_power_dbm,16QAM,QPSK,qpsk_minus_16qam_gsnr_db
bristol,bradley stoke,voyager,00110000,-4.5,23.665,23.29,-0.375
bristol,bradley stoke,voyager,00110001,-5.5,25.253,24.943,-0.3099999999999987
bristol,bradley stoke,voyager,00110001,-5.0,24.52,24.187,-0.3329999999999984
bristol,bradley stoke,voyager,00110001,-4.5,23.727,23.377,-0.3500000000000014
bristol,bradley stoke,voyager,00110010,-5.5,25.163,24.827,-0.3359999999999985
bristol,bradley stoke,voyager,00110010,-5.0,24.42,24.063,-0.35700000000000287
bristol,bradley stoke,voyager,00110010,-4.5,23.623,23.253,-0.370000000000001
bristol,bradley stoke,voyager,00110011,-5.5,24.712,24.267,-0.4450000000000003
bristol,bradley stoke,voyager,00110011,-5.0,23.942,23.477,-0.46499999999999986
bristol,bradley stoke,voyager,00110011,-4.5,23.125,22.637,-0.48799999999999955
bristol,bradley stoke,voyager,00110100,-5.5,25.0,24.62,-0.379999999999999
bristol,bradley stoke,voyager,00110100,-5.0,24.247,23.847,-0.3999999999999986
bristol,bradley stoke,voyager,00110100,-4.5,23.443,23.027,-0.41600000000000037
bristol,bradley stoke,voyager,00110101,-5.5,24.843,24.435,-0.40800000000000125
bristol,bradley stoke,voyager,00110101,-5.0,24.082,23.65,-0.43200000000000216
bristol,bradley stoke,voyager,00110101,-4.5,23.267,22.822,-0.4450000000000003
bristol,bradley stoke,voyager,00110110,-5.5,24.55,24.068,-0.4819999999999993
bristol,bradley stoke,voyager,00110110,-5.0,23.767,23.27,-0.4969999999999999
bristol,bradley stoke,voyager,00110110,-4.5,22.942,22.422,-0.5199999999999996
bristol,bradley stoke,voyager,00110111,-5.5,24.188,23.642,-0.5459999999999994
bristol,bradley stoke,voyager,00110111,-5.0,23.392,22.822,-0.5700000000000003
bristol,bradley stoke,voyager,00110111,-4.5,22.552,21.962,-0.5899999999999999
bristol,bradley stoke,voyager,00111000,-5.5,24.587,24.107,-0.4800000000000004
bristol,bradley stoke,voyager,00111000,-5.0,23.81,23.31,-0.5
bristol,bradley stoke,voyager,00111000,-4.5,22.987,22.463,-0.5239999999999974
bristol,bradley stoke,voyager,00111001,-5.5,24.633,24.178,-0.4549999999999983
bristol,bradley stoke,voyager,00111001,-5.0,23.863,23.383,-0.4800000000000004
bristol,bradley stoke,voyager,00111001,-4.5,23.04,22.545,-0.49499999999999744
bristol,bradley stoke,voyager,00111010,-5.5,24.492,24.012,-0.4800000000000004
bristol,bradley stoke,voyager,00111010,-5.0,23.715,23.207,-0.5079999999999991
bristol,bradley stoke,voyager,00111010,-4.5,22.887,22.36,-0.527000000000001
bristol,bradley stoke,voyager,00111011,-5.5,24.188,23.64,-0.5479999999999983
bristol,bradley stoke,voyager,00111011,-5.0,23.394,22.822,-0.5719999999999992
bristol,bradley stoke,voyager,00111011,-4.5,22.552,21.964,-0.588000000000001
bristol,bradley stoke,voyager,00111100,-5.5,24.175,23.623,-0.5519999999999996
bristol,bradley stoke,voyager,00111100,-5.0,23.38,22.8,-0.5799999999999983
bristol,bradley stoke,voyager,00111100,-4.5,22.538,21.938,-0.6000000000000014
bristol,bradley stoke,voyager,00111101,-5.5,24.132,23.576,-0.5560000000000009
bristol,bradley stoke,voyager,00111101,-5.0,23.334,22.756,-0.5779999999999994
bristol,bradley stoke,voyager,00111101,-4.5,22.49,21.894,-0.5960000000000001
bristol,bradley stoke,voyager,00111110,-5.5,23.872,23.268,-0.6039999999999992
bristol,bradley stoke,voyager,00111110,-5.0,23.06,22.43,-0.629999999999999
bristol,bradley stoke,voyager,00111110,-4.5,22.21,21.558,-0.652000000000001
bristol,bradley stoke,voyager,00111111,-5.5,23.635,22.992,-0.6430000000000007
bristol,bradley stoke,voyager,00111111,-5.0,22.813,22.147,-0.6660000000000004
bristol,bradley stoke,voyager,00111111,-4.5,21.953,21.265,-0.6879999999999988
bristol,bradley stoke,voyager,01000000,-5.5,26.36,26.36,0.0
bristol,bradley stoke,voyager,01000000,-5.0,25.7,25.7,0.0
bristol,bradley stoke,voyager,01000000,-4.5,24.97,24.97,0.0
bristol,bradley stoke,voyager,01000001,-5.5,26.135,26.07,-0.06500000000000128
bristol,bradley stoke,voyager,01000001,-5.0,25.46,25.39,-0.07000000000000028
bristol,bradley stoke,voyager,01000001,-4.5,24.72,24.65,-0.07000000000000028
bristol,bradley stoke,voyager,01000010,-5.5,26.1,26.02,-0.08000000000000185
bristol,bradley stoke,voyager,01000010,-5.0,25.42,25.335,-0.08500000000000085
bristol,bradley stoke,voyager,01000010,-4.5,24.675,24.59,-0.08500000000000085
bristol,bradley stoke,voyager,01000011,-5.5,25.307,25.01,-0.29699999999999704
