method,task,runs,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,auroc_mean,auroc_std,auroc_ci95,auprc_mean,auprc_std,auprc_ci95
V2PlusOptical,4class,10,0.6552631578947368,0.025142798627725917,0.01558366804125569,0.43446618698413675,0.02540033974503802,0.01574329367953846,0.39577062893405357,0.028300380087038206,0.017540757305808934,,0.0,0.0,,0.0,0.0
V2PlusOptical,binary,10,0.7566666666666666,0.01386470655622727,0.00859343415427932,0.6297822812542792,0.006056602451475165,0.003753921091248907,0.6374014416780694,0.007048663742684121,0.004368807049955651,0.6953426673969602,0.011276919843234076,0.006989507332370649,0.43033453983816755,0.010386192018686258,0.006437428507002492
V3NoNoisePlusOptical,4class,10,0.6754385964912281,0.016015279459215378,0.00992637304922514,0.44440924386077957,0.014600948931891787,0.009049761906417828,0.40407060915727494,0.017555957209773806,0.010881295012318581,,0.0,0.0,,0.0,0.0
V3NoNoisePlusOptical,binary,10,0.7752631578947368,0.004563652167281084,0.0028285809182849076,0.6344430371080378,0.007701971996127687,0.00477373170058902,0.6473299734900679,0.006843998071682595,0.004241953952830198,0.6987248391072163,0.006325870576000837,0.0039208152039063695,0.44737527758268325,0.007063680953314195,0.0043781148135355824
V3PlusOptical,4class,10,0.6750877192982456,0.016307298299820697,0.010107368201800056,0.4316596734272243,0.029687703579925003,0.01840062931524954,0.3954812624349883,0.029906032287302237,0.018535950850056382,,0.0,0.0,,0.0,0.0
V3PlusOptical,binary,10,0.7733333333333332,0.008546819137518168,0.0052973733839183626,0.6331815692181296,0.008534241014238445,0.005289577382340517,0.6456619653084108,0.008688642501833339,0.005385276415824464,0.6983037792687937,0.0046197825741866256,0.0028633709049203644,0.44785291145005035,0.010977835393167984,0.006804132869680892
V3_8DPlusOptical,4class,10,0.6536842105263159,0.02546647662224967,0.015784285740725122,0.43858703323003284,0.019563307908751215,0.01212546386553251,0.39942209424784547,0.026276071491557876,0.016286077839449176,,0.0,0.0,,0.0,0.0
V3_8DPlusOptical,binary,10,0.7614035087719297,0.010783092932506299,0.006683430242044905,0.6308109680953032,0.00790564345544678,0.0048999685789294775,0.6399226743594381,0.009011647150298454,0.005585476771082932,0.7005032178556758,0.011740268903349164,0.007276694055176393,0.4356079210208558,0.01859642637050356,0.011526184479400271
WirelessSemanticOnly_V3,4class,10,0.432280701754386,0.047380692945030896,0.02936685773738027,0.3011666564388942,0.023497760144702236,0.014564062626039008,0.2479879899959811,0.014756803071342006,0.009146361302849754,,0.0,0.0,,0.0,0.0
WirelessSemanticOnly_V3,binary,10,0.6366666666666666,0.030627311586891276,0.018983004391559515,0.5934701492537313,0.02086233683092191,0.012930610333069137,0.568697408720944,0.022217566784638956,0.013770590560847104,0.6169707654388608,0.022479414736393845,0.01393288560277339,0.3797868496618324,0.017178528217476,0.01064736209927251
